"initial_alias","converted_alias","name","description","namespace"
"GO:0042063","ENSMUSG00000040136","Abcc8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:MGI Symbol;Acc:MGI:1352629]","GO"
"GO:0042063","ENSMUSG00000026842","Abl1","c-abl oncogene 1, non-receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:87859]","GO"
"GO:0042063","ENSMUSG00000026341","Actr3","ARP3 actin-related protein 3 [Source:MGI Symbol;Acc:MGI:1921367]","GO"
"GO:0042063","ENSMUSG00000040537","Adam22","a disintegrin and metallopeptidase domain 22 [Source:MGI Symbol;Acc:MGI:1340046]","GO"
"GO:0042063","ENSMUSG00000024256","Adcyap1","adenylate cyclase activating polypeptide 1 [Source:MGI Symbol;Acc:MGI:105094]","GO"
"GO:0042063","ENSMUSG00000031785","Adgrg1","adhesion G protein-coupled receptor G1 [Source:MGI Symbol;Acc:MGI:1340051]","GO"
"GO:0042063","ENSMUSG00000039116","Adgrg6","adhesion G protein-coupled receptor G6 [Source:MGI Symbol;Acc:MGI:1916151]","GO"
"GO:0042063","ENSMUSG00000020178","Adora2a","adenosine A2a receptor [Source:MGI Symbol;Acc:MGI:99402]","GO"
"GO:0042063","ENSMUSG00000068036","Afdn","afadin, adherens junction formation factor [Source:MGI Symbol;Acc:MGI:1314653]","GO"
"GO:0042063","ENSMUSG00000015452","Ager","advanced glycosylation end product-specific receptor [Source:MGI Symbol;Acc:MGI:893592]","GO"
"GO:0042063","ENSMUSG00000001729","Akt1","thymoma viral proto-oncogene 1 [Source:MGI Symbol;Acc:MGI:87986]","GO"
"GO:0042063","ENSMUSG00000004056","Akt2","thymoma viral proto-oncogene 2 [Source:MGI Symbol;Acc:MGI:104874]","GO"
"GO:0042063","ENSMUSG00000024659","Anxa1","annexin A1 [Source:MGI Symbol;Acc:MGI:96819]","GO"
"GO:0042063","ENSMUSG00000071847","Apcdd1","adenomatosis polyposis coli down-regulated 1 [Source:MGI Symbol;Acc:MGI:3513977]","GO"
"GO:0042063","ENSMUSG00000022892","App","amyloid beta (A4) precursor protein [Source:MGI Symbol;Acc:MGI:88059]","GO"
