"initial_alias","converted_alias","name","description","namespace"
"GO:0045202","ENSMUSG00000000058","Cav2","caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]","GO"
"GO:0045202","ENSMUSG00000000120","Ngfr","nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]","GO"
"GO:0045202","ENSMUSG00000000214","Th","tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735]","GO"
"GO:0045202","ENSMUSG00000000223","Drp2","dystrophin related protein 2 [Source:MGI Symbol;Acc:MGI:107432]","GO"
"GO:0045202","ENSMUSG00000000263","Glra1","glycine receptor, alpha 1 subunit [Source:MGI Symbol;Acc:MGI:95747]","GO"
"GO:0045202","ENSMUSG00000000276","Dgke","diacylglycerol kinase, epsilon [Source:MGI Symbol;Acc:MGI:1889276]","GO"
"GO:0045202","ENSMUSG00000000303","Cdh1","cadherin 1 [Source:MGI Symbol;Acc:MGI:88354]","GO"
"GO:0045202","ENSMUSG00000000326","Comt","catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470]","GO"
"GO:0045202","ENSMUSG00000000409","Lck","lymphocyte protein tyrosine kinase [Source:MGI Symbol;Acc:MGI:96756]","GO"
"GO:0045202","ENSMUSG00000000416","Cttnbp2","cortactin binding protein 2 [Source:MGI Symbol;Acc:MGI:1353467]","GO"
"GO:0045202","ENSMUSG00000000486","Sept1","septin 1 [Source:MGI Symbol;Acc:MGI:1858916]","GO"
"GO:0045202","ENSMUSG00000000531","Grasp","GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein [Source:MGI Symbol;Acc:MGI:1860303]","GO"
"GO:0045202","ENSMUSG00000000555","Itga5","integrin alpha 5 (fibronectin receptor alpha) [Source:MGI Symbol;Acc:MGI:96604]","GO"
"GO:0045202","ENSMUSG00000000560","Gabra2","gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2 [Source:MGI Symbol;Acc:MGI:95614]","GO"
"GO:0045202","ENSMUSG00000000568","Hnrnpd","heterogeneous nuclear ribonucleoprotein D [Source:MGI Symbol;Acc:MGI:101947]","GO"
"GO:0045202","ENSMUSG00000000605","Clcn4","chloride channel, voltage-sensitive 4 [Source:MGI Symbol;Acc:MGI:104571]","GO"
"GO:0045202","ENSMUSG00000000617","Grm6","glutamate receptor, metabotropic 6 [Source:MGI Symbol;Acc:MGI:1351343]","GO"
"GO:0045202","ENSMUSG00000000627","Sema4f","sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain [Source:MGI Symbol;Acc:MGI:1340055]","GO"
"GO:0045202","ENSMUSG00000000631","Myo18a","myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185]","GO"
"GO:0045202","ENSMUSG00000000632","Sez6","seizure related gene 6 [Source:MGI Symbol;Acc:MGI:104745]","GO"
"GO:0045202","ENSMUSG00000000711","Rab5b","RAB5B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105938]","GO"
"GO:0045202","ENSMUSG00000000766","Oprm1","opioid receptor, mu 1 [Source:MGI Symbol;Acc:MGI:97441]","GO"
"GO:0045202","ENSMUSG00000000794","Kcnn3","potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3 [Source:MGI Symbol;Acc:MGI:2153183]","GO"
"GO:0045202","ENSMUSG00000000826","Dnajc5","DnaJ heat shock protein family (Hsp40) member C5 [Source:MGI Symbol;Acc:MGI:892995]","GO"
"GO:0045202","ENSMUSG00000000861","Bcl11a","B cell CLL/lymphoma 11A (zinc finger protein) [Source:MGI Symbol;Acc:MGI:106190]","GO"
"GO:0045202","ENSMUSG00000000881","Dlg3","discs large MAGUK scaffold protein 3 [Source:MGI Symbol;Acc:MGI:1888986]","GO"
"GO:0045202","ENSMUSG00000000889","Dbh","dopamine beta hydroxylase [Source:MGI Symbol;Acc:MGI:94864]","GO"
"GO:0045202","ENSMUSG00000000915","Hip1r","huntingtin interacting protein 1 related [Source:MGI Symbol;Acc:MGI:1352504]","GO"
"GO:0045202","ENSMUSG00000001018","Snapin","SNAP-associated protein [Source:MGI Symbol;Acc:MGI:1333745]","GO"
"GO:0045202","ENSMUSG00000001175","Calm1","calmodulin 1 [Source:MGI Symbol;Acc:MGI:88251]","GO"
"GO:0045202","ENSMUSG00000001260","Gabrg1","gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1 [Source:MGI Symbol;Acc:MGI:103156]","GO"
"GO:0045202","ENSMUSG00000001300","Efnb2","ephrin B2 [Source:MGI Symbol;Acc:MGI:105097]","GO"
"GO:0045202","ENSMUSG00000001333","Sync","syncoilin [Source:MGI Symbol;Acc:MGI:1916078]","GO"
"GO:0045202","ENSMUSG00000001507","Itga3","integrin alpha 3 [Source:MGI Symbol;Acc:MGI:96602]","GO"
"GO:0045202","ENSMUSG00000001761","Smo","smoothened, frizzled class receptor [Source:MGI Symbol;Acc:MGI:108075]","GO"
"GO:0045202","ENSMUSG00000001847","Rac1","Rac family small GTPase 1 [Source:MGI Symbol;Acc:MGI:97845]","GO"
"GO:0045202","ENSMUSG00000001985","Grik3","glutamate receptor, ionotropic, kainate 3 [Source:MGI Symbol;Acc:MGI:95816]","GO"
"GO:0045202","ENSMUSG00000001986","Gria3","glutamate receptor, ionotropic, AMPA3 (alpha 3) [Source:MGI Symbol;Acc:MGI:95810]","GO"
"GO:0045202","ENSMUSG00000002104","Rapsn","receptor-associated protein of the synapse [Source:MGI Symbol;Acc:MGI:99422]","GO"
"GO:0045202","ENSMUSG00000002489","Tiam1","T cell lymphoma invasion and metastasis 1 [Source:MGI Symbol;Acc:MGI:103306]","GO"
"GO:0045202","ENSMUSG00000002496","Tsc2","TSC complex subunit 2 [Source:MGI Symbol;Acc:MGI:102548]","GO"
"GO:0045202","ENSMUSG00000002633","Shh","sonic hedgehog [Source:MGI Symbol;Acc:MGI:98297]","GO"
"GO:0045202","ENSMUSG00000002771","Grin2d","glutamate receptor, ionotropic, NMDA2D (epsilon 4) [Source:MGI Symbol;Acc:MGI:95823]","GO"
"GO:0045202","ENSMUSG00000002957","Ap2a2","adaptor-related protein complex 2, alpha 2 subunit [Source:MGI Symbol;Acc:MGI:101920]","GO"
"GO:0045202","ENSMUSG00000002985","Apoe","apolipoprotein E [Source:MGI Symbol;Acc:MGI:88057]","GO"
"GO:0045202","ENSMUSG00000002997","Prkar2b","protein kinase, cAMP dependent regulatory, type II beta [Source:MGI Symbol;Acc:MGI:97760]","GO"
"GO:0045202","ENSMUSG00000003037","Rab8a","RAB8A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:96960]","GO"
"GO:0045202","ENSMUSG00000003070","Efna2","ephrin A2 [Source:MGI Symbol;Acc:MGI:102707]","GO"
"GO:0045202","ENSMUSG00000003153","Slc2a3","solute carrier family 2 (facilitated glucose transporter), member 3 [Source:MGI Symbol;Acc:MGI:95757]","GO"
"GO:0045202","ENSMUSG00000003161","Sri","sorcin [Source:MGI Symbol;Acc:MGI:98419]","GO"
"GO:0045202","ENSMUSG00000003200","Sh3gl1","SH3-domain GRB2-like 1 [Source:MGI Symbol;Acc:MGI:700010]","GO"
"GO:0045202","ENSMUSG00000003233","Dvl3","dishevelled segment polarity protein 3 [Source:MGI Symbol;Acc:MGI:108100]","GO"
"GO:0045202","ENSMUSG00000003269","Cyth2","cytohesin 2 [Source:MGI Symbol;Acc:MGI:1334255]","GO"
"GO:0045202","ENSMUSG00000003279","Dlgap1","DLG associated protein 1 [Source:MGI Symbol;Acc:MGI:1346065]","GO"
"GO:0045202","ENSMUSG00000003316","Glg1","golgi apparatus protein 1 [Source:MGI Symbol;Acc:MGI:104967]","GO"
"GO:0045202","ENSMUSG00000003346","Abhd17a","abhydrolase domain containing 17A [Source:MGI Symbol;Acc:MGI:106388]","GO"
"GO:0045202","ENSMUSG00000003352","Cacnb3","calcium channel, voltage-dependent, beta 3 subunit [Source:MGI Symbol;Acc:MGI:103307]","GO"
"GO:0045202","ENSMUSG00000003378","Grik5","glutamate receptor, ionotropic, kainate 5 (gamma 2) [Source:MGI Symbol;Acc:MGI:95818]","GO"
"GO:0045202","ENSMUSG00000003380","Rabac1","Rab acceptor 1 (prenylated) [Source:MGI Symbol;Acc:MGI:1201692]","GO"
"GO:0045202","ENSMUSG00000003411","Rab3b","RAB3B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1917158]","GO"
"GO:0045202","ENSMUSG00000003458","Ncstn","nicastrin [Source:MGI Symbol;Acc:MGI:1891700]","GO"
"GO:0045202","ENSMUSG00000003476","Crhr2","corticotropin releasing hormone receptor 2 [Source:MGI Symbol;Acc:MGI:894312]","GO"
"GO:0045202","ENSMUSG00000003573","Homer3","homer scaffolding protein 3 [Source:MGI Symbol;Acc:MGI:1347359]","GO"
"GO:0045202","ENSMUSG00000003575","Crtc1","CREB regulated transcription coactivator 1 [Source:MGI Symbol;Acc:MGI:2142523]","GO"
"GO:0045202","ENSMUSG00000003657","Calb2","calbindin 2 [Source:MGI Symbol;Acc:MGI:101914]","GO"
"GO:0045202","ENSMUSG00000003863","Ppfia3","protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3 [Source:MGI Symbol;Acc:MGI:1924037]","GO"
"GO:0045202","ENSMUSG00000003872","Lin7b","lin-7 homolog B (C. elegans) [Source:MGI Symbol;Acc:MGI:1330858]","GO"
"GO:0045202","ENSMUSG00000003934","Efnb3","ephrin B3 [Source:MGI Symbol;Acc:MGI:109196]","GO"
"GO:0045202","ENSMUSG00000003970","Rpl8","ribosomal protein L8 [Source:MGI Symbol;Acc:MGI:1350927]","GO"
"GO:0045202","ENSMUSG00000003974","Grm3","glutamate receptor, metabotropic 3 [Source:MGI Symbol;Acc:MGI:1351340]","GO"
"GO:0045202","ENSMUSG00000004040","Stat3","signal transducer and activator of transcription 3 [Source:MGI Symbol;Acc:MGI:103038]","GO"
"GO:0045202","ENSMUSG00000004069","Dnaja3","DnaJ heat shock protein family (Hsp40) member A3 [Source:MGI Symbol;Acc:MGI:1933786]","GO"
